date,open,high,low,close,volume
2023-12-15,18.048,18.408,17.908,18.058,394189.0
2023-12-18,17.958,18.098,17.818,17.858,306368.0
2023-12-19,17.858,18.508,17.748,18.348,613747.0
2023-12-20,18.438,18.908,18.288,18.318,825589.0
2023-12-21,18.108,18.438,17.858,18.158,586988.0
2023-12-22,18.168,18.538,17.918,17.948,547765.0
2023-12-25,17.958,18.658,17.948,18.458,658435.0
2023-12-26,18.368,18.438,17.558,17.878,671139.0
2023-12-27,17.778,18.368,17.658,18.228,553621.0
2023-12-28,18.158,18.738,18.058,18.558,872870.0
2023-12-29,18.658,20.468,18.638,20.468,1902287.0
2024-01-02,20.608,20.828,20.158,20.208,2244793.0
2024-01-03,20.208,20.298,19.298,19.508,1624148.0
2024-01-04,19.408,19.568,18.878,19.128,1085687.0
2024-01-05,19.128,20.008,19.098,19.238,1432467.0
2024-01-08,19.238,19.758,18.788,18.848,868386.0
2024-01-09,18.758,19.408,18.548,18.798,901480.0
2024-01-10,18.518,18.658,18.078,18.148,759434.0
2024-01-11,18.138,18.848,17.968,18.578,797829.0
2024-01-12,18.538,18.588,17.758,17.758,826669.0
2024-01-15,17.648,18.578,17.438,18.108,857569.0
2024-01-16,18.108,18.708,17.958,18.408,838955.0
2024-01-17,18.348,18.348,17.328,17.348,782753.0
2024-01-18,17.108,17.638,16.798,17.518,873706.0
2024-01-19,17.408,17.768,17.358,17.518,625393.0
2024-01-22,17.788,17.948,16.898,16.978,710584.0
2024-01-23,16.978,17.438,16.788,17.308,626186.0
2024-01-24,17.298,17.408,16.168,16.798,1083337.0
2024-01-25,16.608,17.108,16.408,17.038,670657.0
2024-01-26,16.988,16.988,16.398,16.398,691897.0
2024-01-29,16.408,16.488,15.658,15.688,667817.0
2024-01-30,15.558,15.888,15.318,15.458,440839.0
2024-01-31,15.358,15.598,14.668,14.708,735838.0
2024-02-01,14.558,15.108,14.428,14.668,488314.0
2024-02-02,14.758,14.928,13.508,14.088,667169.0
2024-02-05,14.088,14.458,13.288,13.988,800266.0
2024-02-06,13.798,14.998,13.778,14.968,709651.0
2024-02-07,14.978,15.358,14.788,15.048,750679.0
2024-02-08,15.258,15.748,14.958,15.658,768619.0
2024-02-19,15.838,15.838,15.298,15.548,706480.0
2024-02-20,15.448,15.448,14.978,15.258,677431.0
2024-02-21,15.058,15.678,15.018,15.338,696890.0
2024-02-22,15.248,15.708,15.198,15.618,605213.0
2024-02-23,15.638,15.818,15.378,15.688,633905.0
2024-02-26,15.708,16.248,15.608,16.038,871115.0
2024-02-27,15.978,16.378,15.788,16.368,854785.0
2024-02-28,16.368,16.508,15.528,15.528,1007613.0
2024-02-29,15.408,16.158,15.368,16.098,855158.0
2024-03-01,16.198,16.928,16.108,16.878,1196731.0
2024-03-04,17.018,17.098,16.538,16.698,860440.0
2024-03-05,16.558,17.398,16.418,16.878,1122546.0
2024-03-06,16.618,18.388,16.418,17.578,1591769.0
2024-03-07,17.358,17.648,16.758,16.758,1131011.0
2024-03-08,16.758,17.058,16.718,16.948,654828.0
2024-03-11,16.638,17.138,16.568,17.128,684953.0
2024-03-12,17.128,17.608,17.018,17.218,901030.0
2024-03-13,17.058,17.378,16.958,17.098,721037.0
2024-03-14,17.008,17.208,16.638,16.838,630017.0
2024-03-15,16.858,17.048,16.688,17.048,506606.0
2024-03-18,17.218,17.488,17.078,17.368,811915.0
2024-03-19,17.338,17.818,17.258,17.318,817107.0
2024-03-20,17.258,17.598,17.158,17.378,534987.0
2024-03-21,17.528,17.778,17.188,17.208,681040.0
2024-03-22,17.098,17.558,16.908,17.058,759480.0
2024-03-25,17.008,17.108,16.338,16.358,691487.0
2024-03-26,16.358,16.558,16.228,16.358,486881.0
2024-03-27,16.288,16.288,15.458,15.478,639885.0
2024-03-28,15.308,15.728,15.088,15.248,1129590.0
2024-03-29,15.158,15.708,15.088,15.438,584042.0
2024-04-01,15.478,16.198,15.478,16.058,789054.0
2024-04-02,16.058,16.068,15.708,15.888,489984.0
2024-04-03,15.868,15.968,15.658,15.778,364903.0
2024-04-08,15.748,15.748,15.268,15.288,444160.0
2024-04-09,15.288,15.588,15.138,15.558,419958.0
2024-04-10,15.498,15.508,14.998,15.108,367612.0
2024-04-11,15.028,15.318,14.848,14.878,443604.0
2024-04-12,14.908,15.128,14.648,14.698,429484.0
2024-04-15,14.638,14.908,14.508,14.708,446844.0
2024-04-16,14.618,14.688,14.178,14.248,511569.0
2024-04-17,14.258,14.738,14.248,14.708,626792.0
2024-04-18,14.698,14.908,14.478,14.628,529181.0
2024-04-19,14.558,14.558,14.118,14.278,511070.0
2024-04-22,14.278,14.418,14.058,14.358,404703.0
2024-04-23,14.408,14.518,14.028,14.278,460222.0
2024-04-24,14.248,14.458,14.138,14.428,526717.0
2024-04-25,14.958,15.038,14.548,14.608,1075378.0
2024-04-26,14.558,15.048,14.508,15.048,993278.0
2024-04-29,15.068,15.458,15.018,15.398,755004.0
2024-04-30,15.408,15.458,15.168,15.258,508623.0
2024-05-06,15.488,15.828,15.478,15.758,709172.0
2024-05-07,15.758,15.908,15.678,15.808,529917.0
2024-05-08,15.798,15.838,15.508,15.588,496752.0
2024-05-09,15.548,15.808,15.518,15.678,422017.0
2024-05-10,15.678,15.708,15.408,15.658,431519.0
2024-05-13,15.548,16.418,15.508,16.258,1111074.0
2024-05-14,16.458,17.308,16.448,16.648,1309342.0
2024-05-15,16.558,16.728,16.268,16.308,568061.0
2024-05-16,16.408,16.598,16.268,16.528,577326.0
2024-05-17,16.468,16.618,16.218,16.348,440941.0
2024-05-20,16.258,16.378,16.078,16.158,530906.0
2024-05-21,16.198,16.428,16.098,16.288,498038.0
2024-05-22,16.278,16.598,16.148,16.548,567174.0
2024-05-23,16.458,16.558,16.128,16.148,429217.0
2024-05-24,16.138,16.298,15.698,15.738,428203.0
2024-05-27,15.898,16.028,15.718,16.008,364158.0
2024-05-28,15.938,15.988,15.558,15.578,337689.0
2024-05-29,15.708,16.108,15.478,15.768,505226.0
2024-05-30,15.558,16.828,15.458,16.688,1310853.0
2024-05-31,16.647,17.057,16.587,16.747,868364.0
2024-06-03,16.847,17.157,16.757,16.937,774725.0
2024-06-04,16.877,17.057,16.637,17.027,534137.0
2024-06-05,16.957,17.217,16.867,16.877,477507.0
2024-06-06,17.037,17.207,16.857,16.977,662262.0
2024-06-07,16.947,17.037,16.427,16.507,598386.0
2024-06-11,16.257,16.487,16.167,16.427,458542.0
2024-06-12,17.007,17.257,16.717,16.817,846639.0
2024-06-13,16.867,17.657,16.857,17.007,991169.0
2024-06-14,16.977,17.237,16.717,17.117,600698.0
2024-06-17,16.937,18.517,16.907,18.177,1545221.0
2024-06-18,18.117,18.407,18.047,18.287,884812.0
2024-06-19,18.237,18.637,18.017,18.197,532050.0
2024-06-20,18.107,18.187,17.697,17.767,508514.0
2024-06-21,17.727,18.337,17.607,18.077,721785.0
2024-06-24,17.997,18.437,17.697,17.727,723384.0
2024-06-25,17.817,17.857,17.117,17.337,709142.0
2024-06-26,17.337,18.087,17.187,18.017,609921.0
2024-06-27,17.907,18.707,17.857,18.177,1063685.0
2024-06-28,18.337,19.357,18.257,19.067,1386861.0
2024-07-01,19.007,19.577,18.947,19.277,1245064.0
2024-07-02,19.437,19.647,19.027,19.087,646694.0
2024-07-03,19.077,19.357,18.857,19.137,552173.0
2024-07-04,19.167,19.327,18.937,18.987,560605.0
2024-07-05,19.087,19.237,18.517,19.107,572485.0
2024-07-08,19.047,19.757,19.027,19.267,818837.0
2024-07-09,19.457,20.357,19.237,20.237,1255072.0
2024-07-10,20.237,21.227,20.137,21.007,1185266.0
2024-07-11,21.157,21.777,20.837,21.507,1328336.0
2024-07-12,20.877,21.337,20.717,21.247,871027.0
2024-07-15,21.887,22.337,21.177,21.717,1579515.0
2024-07-16,21.657,23.557,21.657,23.117,1583522.0
2024-07-17,22.747,23.107,22.417,22.637,1063597.0
2024-07-18,22.177,22.727,21.507,22.387,1380749.0
2024-07-19,22.177,23.547,22.047,22.607,1340011.0
2024-07-22,22.457,22.547,21.697,22.317,1137299.0
2024-07-23,22.337,22.447,21.587,21.657,769054.0
2024-07-24,21.727,22.047,21.137,21.317,804468.0
2024-07-25,21.517,21.607,20.617,21.057,846324.0
2024-07-26,21.097,21.487,20.797,21.177,729641.0
2024-07-29,20.947,21.387,20.427,21.067,622378.0
2024-07-30,20.937,21.327,20.677,20.787,638556.0
2024-07-31,20.857,21.237,20.437,21.077,898516.0
2024-08-01,21.357,21.397,20.797,21.037,727892.0
2024-08-02,20.667,21.197,20.557,20.717,564761.0
2024-08-05,19.777,20.227,19.387,19.497,1116790.0
2024-08-06,19.847,20.007,19.317,19.577,596071.0
2024-08-07,19.547,19.937,19.407,19.507,467345.0
2024-08-08,19.457,19.997,19.207,19.757,560903.0
2024-08-09,19.867,20.507,19.697,20.107,592580.0
2024-08-12,20.057,20.437,19.947,20.067,337987.0
2024-08-13,20.097,20.407,19.947,20.257,425590.0
2024-08-14,20.367,20.447,19.817,20.157,449582.0
2024-08-15,20.107,20.537,19.837,19.947,720421.0
2024-08-16,20.057,20.157,19.637,19.647,541395.0
2024-08-19,19.717,20.357,19.627,19.857,617210.0
2024-08-20,19.847,20.087,19.557,19.637,405717.0
2024-08-21,19.467,20.857,19.457,20.397,955257.0
2024-08-22,20.307,20.357,19.687,19.937,658078.0
2024-08-23,19.907,20.237,19.707,20.057,449027.0
2024-08-26,20.057,20.197,19.607,19.767,483290.0
2024-08-27,19.667,19.697,18.887,18.947,720424.0
2024-08-28,18.937,19.347,18.807,18.967,496604.0
2024-08-29,18.897,19.597,18.587,19.227,584974.0
2024-08-30,19.297,21.107,19.247,20.847,1263244.0
2024-09-02,20.697,20.807,19.607,19.627,1007405.0
2024-09-03,19.527,19.927,19.457,19.607,541059.0
2024-09-04,19.317,19.317,18.757,19.097,618574.0
2024-09-05,19.067,19.217,18.887,18.957,405066.0
2024-09-06,18.957,19.017,18.587,18.587,387784.0
2024-09-09,18.507,18.757,18.307,18.567,341697.0
2024-09-10,18.507,19.027,18.157,18.857,518430.0
2024-09-11,18.757,18.807,18.367,18.437,332687.0
2024-09-12,18.587,18.657,17.997,18.007,435795.0
2024-09-13,18.007,18.457,17.977,18.137,419015.0
2024-09-18,17.967,18.277,17.477,17.647,447471.0
2024-09-19,17.907,18.067,17.637,17.767,464708.0
2024-09-20,17.907,18.327,17.887,18.247,550205.0
2024-09-23,18.267,18.807,18.097,18.237,506470.0
